,city,pop_2018_est
0,Mead Valley,19925
1,Meridian,405
2,Mesa Verde,584
3,Mexican Colony,363
4,Midpines,1396
5,Midway City,8374
6,Milford,181
7,Minkler,1074
8,Miranda,672
9,Monmouth,103
10,Mono City,98
11,Monson,380
12,Maywood,27542
13,Monrovia,37006
14,Palmdale,156904
15,Quartz Hill,10164
16,Redondo Beach,67700
17,San Marino,13285
18,Santa Fe Springs,17791
19,Sierra Madre,11006
20,Manhattan Beach,35573
21,San Rafael,58939
22,Santa Venetia,4790
23,Sausalito,7139
24,Stinson Beach,556
25,Bootjack,768
26,Hayfork,2421
27,Lewiston,1340
28,Beaumont,45403
29,Bermuda Dunes,6817
30,Rocklin,63127
31,Grayson,1224
32,Keyes,6185
33,Corcoran,22301
34,Stratford,878
35,Laguna Hills,31185
36,Alpaugh,1074
37,Farmersville,10742
38,Strathmore,2915
39,Visalia,131066
40,Laguna Woods,16228
41,La Habra,61910
42,Seal Beach,24364
43,Villa Park,5912
44,Meadow Vista,3460
45,Hayward,158241
46,Livermore,89027
47,Lemon Grove,26767
48,Fetters Hot Springs-Agua Caliente,4697
49,Healdsburg,11802
50,Petaluma,60635
51,Mineral,292
52,Red Bluff,14132
53,Laytonville,1175
54,Montalvin Manor,3023
55,Monterey Park Tract,291
56,Monument Hills,1700
57,Moskowite Corner,151
58,Mountain Center,0
59,Mountain Gate,794
60,Mountain House,15645
61,Mount Hermon,998
62,Mount Laguna,0
63,Myers Flat,0
64,Newcastle,1167
65,New Cuyama,763
66,Newell,342
67,New Pine Creek,71
68,Nicasio,106
69,Nicolaus,166
70,Nipinnawasee,319
71,Nord,426
72,Norris Canyon,987
73,North Gate,559
74,North Richmond,4233
75,Elk Grove,168503
76,El Dorado Hills,45599
77,West Point,571
78,Mountain View,80993
79,Bonsall,4464
80,Lake Forest,82911
81,Santa Ana,333499
82,Lemoore,25791
83,Poplar-Cotton Center,2436
84,La Presa,37437
85,Los Molinos,1845
86,Agoura Hills,20636
87,Mendocino,782
88,Eldridge,1351
89,Duarte,21713
90,Fort Bragg,7298
91,Solana Beach,13370
92,Rolling Hills,1630
93,Whittier,86523
94,North El Monte,4028
95,Cherryland,16387
96,Shingle Springs,3865
97,South Lake Tahoe,21814
98,Lockeford,3390
99,Morada,4068
100,Stockton,306283
101,Lakeport,4855
102,Leggett,62
103,Lemon Hill,14096
104,Leona Valley,1581
105,Likely,0
106,Lindcove,438
107,Linnell Camp,686
108,Litchfield,178
109,Little River,189
110,Hollister,37835
111,Artesia,16817
112,Azusa,49544
113,Baldwin Park,76222
114,Cerritos,50172
115,Commerce,12933
116,Hidden Hills,1634
117,Industry,344
118,Inglewood,110327
119,Lennox,21329
120,Canyondam,66
121,Crescent Mills,287
122,La Porte,0
123,Little Grass Valley,0
124,Mohawk Vista,63
125,Chinese Camp,206
126,West Puente Valley,23629
127,Colusa,5902
128,Forest Meadows,1516
129,El Cerrito,5471
130,Idyllwild-Pine Cove,2459
131,Winterhaven,210
132,Chowchilla,18533
133,Parksdale,2493
134,Cathedral City,54037
135,Highgrove,4986
136,Lindsay,13232
137,Woodside,5541
138,Buttonwillow,1591
139,Banning,30942
140,Calimesa,8651
141,Home Gardens,11442
142,Brawley,26009
143,El Centro,43898
144,Holtville,6458
145,Imperial,17175
146,Lucerne,2956
147,North Lakeport,3141
148,Lake of the Pines,4137
149,Truckee,16377
150,Dillon Beach,219
151,Romoland,2227
152,Indio,88291
153,Murrieta,111427
154,Thousand Palms,7814
155,Calexico,39934
156,Desert Shores,619
157,Ocotillo,58
158,Bolinas,1077
159,Corte Madera,9866
160,Bodfish,1384
161,Delano,52713
162,Channel Islands Beach,2864
163,Golden Hills,9407
164,Keene,313
165,Lost Hills,1943
166,Lockwood,604
167,Lodoga,126
168,Loleta,676
169,Loma Mar,114
170,Elmira,285
171,Rio Vista,8618
172,Vallejo,120977
173,Burbank,5252
174,Colfax,2029
175,San Joaquin,4021
176,Shaver Lake,498
177,Alum Rock,11791
178,Fruitdale,899
179,Los Altos,30588
180,Milpitas,77457
181,Morgan Hill,43876
182,Magalia,12671
183,Paradise,26543
184,Willits,4893
185,West Menlo Park,4116
186,Bear Valley Springs,5442
187,Montecito,8611
188,Toro Canyon,1735
189,Big Pine,1568
190,Round Valley,533
191,West Bishop,2661
192,Wilkerson,431
