,city,pop_2018_est,mh_spaces
0,Mead Valley,19925,
1,Meridian,405,6.0
2,Mesa Verde,584,
3,Mexican Colony,363,
4,Midpines,1396,11.0
5,Midway City,8374,255.0
6,Milford,181,7.0
7,Minkler,1074,
8,Miranda,672,17.0
9,Monmouth,103,
10,Mono City,98,
11,Monson,380,
12,Maywood,27542,
13,Monrovia,37006,239.0
14,Palmdale,156904,2098.0
15,Quartz Hill,10164,
16,Redondo Beach,67700,80.0
17,San Marino,13285,
18,Santa Fe Springs,17791,118.0
19,Sierra Madre,11006,
20,Manhattan Beach,35573,
21,San Rafael,58939,397.0
22,Santa Venetia,4790,
23,Sausalito,7139,
24,Stinson Beach,556,
25,Bootjack,768,
26,Hayfork,2421,63.0
27,Lewiston,1340,122.0
28,Beaumont,45403,387.0
29,Bermuda Dunes,6817,
30,Rocklin,63127,454.0
31,Grayson,1224,
32,Keyes,6185,4.0
33,Corcoran,22301,120.0
34,Stratford,878,
35,Laguna Hills,31185,252.0
36,Alpaugh,1074,
37,Farmersville,10742,
38,Strathmore,2915,40.0
39,Visalia,131066,1312.0
40,Laguna Woods,16228,
41,La Habra,61910,510.0
42,Seal Beach,24364,125.0
43,Villa Park,5912,
44,Meadow Vista,3460,22.0
45,Hayward,158241,2397.0
46,Livermore,89027,443.0
47,Lemon Grove,26767,44.0
48,Fetters Hot Springs-Agua Caliente,4697,
49,Healdsburg,11802,75.0
50,Petaluma,60635,874.0
51,Mineral,292,
52,Red Bluff,14132,721.0
53,Laytonville,1175,19.0
54,Montalvin Manor,3023,
55,Monterey Park Tract,291,
56,Monument Hills,1700,
57,Moskowite Corner,151,
58,Mountain Center,0,30.0
59,Mountain Gate,794,
60,Mountain House,15645,
61,Mount Hermon,998,
62,Mount Laguna,0,170.0
63,Myers Flat,0,1.0
64,Newcastle,1167,231.0
65,New Cuyama,763,
66,Newell,342,
67,New Pine Creek,71,
68,Nicasio,106,
69,Nicolaus,166,3.0
70,Nipinnawasee,319,
71,Nord,426,
72,Norris Canyon,987,
73,North Gate,559,
74,North Richmond,4233,
75,Elk Grove,168503,202.0
76,El Dorado Hills,45599,131.0
77,West Point,571,42.0
78,Mountain View,80993,1130.0
79,Bonsall,4464,18.0
80,Lake Forest,82911,653.0
81,Santa Ana,333499,3977.0
82,Lemoore,25791,392.0
83,Poplar-Cotton Center,2436,
84,La Presa,37437,
85,Los Molinos,1845,253.0
86,Agoura Hills,20636,
87,Mendocino,782,15.0
88,Eldridge,1351,
89,Duarte,21713,141.0
90,Fort Bragg,7298,344.0
91,Solana Beach,13370,
92,Rolling Hills,1630,
93,Whittier,86523,583.0
94,North El Monte,4028,
95,Cherryland,16387,
96,Shingle Springs,3865,138.0
97,South Lake Tahoe,21814,678.0
98,Lockeford,3390,181.0
99,Morada,4068,
100,Stockton,306283,2662.0
101,Lakeport,4855,712.0
102,Leggett,62,43.0
103,Lemon Hill,14096,
104,Leona Valley,1581,15.0
105,Likely,0,20.0
106,Lindcove,438,
107,Linnell Camp,686,
108,Litchfield,178,16.0
109,Little River,189,120.0
110,Hollister,37835,346.0
