,city,mh_spaces
128,Canyon Lake,1.0
33,Aromas,1.0
448,Magalia,1.0
594,Point Arena,1.0
420,Loch Lomond,1.0
602,Prattville,1.0
330,Holt,1.0
58,Beckwourth,1.0
686,Scotia,1.0
767,Vernalis,1.0
223,Duncans Mills,1.0
189,Creston,1.0
505,Myers Flat,1.0
109,Cadiz,1.0
393,Lakeshore,2.0
51,Banta,2.0
215,Dorris,2.0
17,Albion,2.0
702,Silverado,2.0
76,Biggs,2.0
557,Paicines,2.0
5,177 Leonard Ave,2.0
4,1/2 Mi West Of Big Bar,2.0
9,8 Mi E Of Taft,2.0
252,Fawnskin,2.0
84,Bonita,2.0
214,Dorrington,2.0
176,Copperopolis,3.0
7,3 Mi E Of Williams,3.0
568,Parlier,3.0
520,Nicolaus,3.0
797,Wildwood,3.0
59,Belden,4.0
613,Redcrest,4.0
367,Keyes,4.0
78,Blairsden,4.0
192,Crows Landing,4.0
439,Lotus,4.0
135,Cartago,4.0
152,Chilcoot,4.0
187,Crescent Mills,4.0
794,Whitmore,5.0
768,Victor,5.0
265,Fort Jones,5.0
240,Elk Creek,5.0
338,Hwy 113,5.0
606,Rainbow,5.0
356,Jenner,5.0
463,Meadow Valley,6.0
471,Meridian,6.0
603,Quail Valley,6.0
146,Chalfant Valley,6.0
793,Whitethorn,6.0
118,Calpine,6.0
784,Weott,7.0
477,Milford,7.0
720,Stonyford,7.0
697,Shaver Lake,7.0
491,Montgomery Creek,7.0
86,Boonville,7.0
116,Callahan,8.0
304,Guerneville,8.0
3,1/2 Mi N Trinity Center,8.0
219,Downieville,8.0
144,Cedarville,8.0
579,Philo,9.0
216,Dos Palos,9.0
748,Trona,9.0
156,Chowchilla,9.0
117,Calpella,9.0
563,Palo Cedro,9.0
360,June Lake,9.0
585,Piru,9.0
678,Santa Monica,10.0
445,Lytle Creek,10.0
446,Mad River,10.0
288,Glenn,10.0
147,Challenge,10.0
626,Ripon,11.0
220,Doyle,11.0
475,Midpines,11.0
66,Benton,11.0
278,Garberville,12.0
75,Big Sur,12.0
2,1/2 M/W Of Shingletown,12.0
600,Potter Valley,12.0
138,Castella,12.0
451,Manchester,12.0
544,Oregon House,12.0
340,Hyampom,12.0
630,Robbins,13.0
254,Ferndale,13.0
374,La Grange,13.0
709,Somes Bar,13.0
169,Cohasset,14.0
453,Manton,14.0
744,Topaz,14.0
650,San Ardo,14.0
290,Gonzales,14.0
1,#9,14.0
407,Leona Valley,15.0
466,Mendocino,15.0
6,2Mi N Of Milford,15.0
480,Mira Loma,15.0
488,Monte Rio,15.0
424,Loleta,15.0
682,Santa Ynez,15.0
113,California Hot Springs,15.0
272,French Camp,15.0
93,Boyes Springs,15.0
321,Helena,15.0
259,Forbestown,15.0
548,Oro Grande,15.0
155,Chiriaco Summit,16.0
373,Knights Landing,16.0
413,Litchfield,16.0
692,Seiad Valley,16.0
56,Baywood Park,16.0
41,Avalon,17.0
481,Miranda,17.0
282,Gazelle,17.0
362,Kagel Canyon,17.0
307,Haddad,18.0
85,Bonsall,18.0
68,Bieber,18.0
136,Cassel,18.0
95,Branscomb,18.0
31,Arbuckle,18.0
535,Ocotillo,19.0
701,Shoshone,19.0
813,Wrightwood,19.0
659,San Juan Bautista,19.0
190,Cromberg,19.0
73,Big Oak Flat,19.0
401,Laytonville,19.0
715,Space #1,19.0
545,Orick,20.0
260,Forest Knolls,20.0
384,Lake Almanor,20.0
638,Round Mountain,20.0
332,Hood,20.0
641,Ruth,20.0
398,Larkspur,20.0
230,East Shore,20.0
376,La Honda,20.0
339,Hwy 96,20.0
352,Jacumba,20.0
261,Forest Ranch,20.0
410,Likely,20.0
13,Adin,20.0
754,Twain,20.0
46,Badger,20.0
441,Loyalton,21.0
337,Huron,21.0
69,Big Bar,21.0
691,Seeley,21.0
388,Lake Hughes,21.0
734,Tecopa,21.0
284,Gerber,21.0
464,Meadow Vista,22.0
130,Carlotta,22.0
106,Burnt Ranch,22.0
474,Middletown,23.0
42,Avenal,23.0
581,Piedra,24.0
578,Phillipsville,24.0
83,Bodfish,24.0
773,Walker,24.0
336,Huntington Park,24.0
52,Bard,24.0
478,Mill Creek,24.0
457,Martell,24.0
74,Big Pine,24.0
632,Rodeo,24.0
628,Riverdale,25.0
490,Monterey Park,25.0
582,Pilot Hill,25.0
210,Dillon Beach,25.0
698,Sheridan,25.0
162,Clearlake Park,25.0
648,Salyer,25.0
299,Grimes,26.0
333,Hornbrook,26.0
459,Maxwell,26.0
473,Mi Wuk Village,27.0
142,Catheys Valley,27.0
363,Kelsey,27.0
89,Bostonia,27.0
539,Olivehurst,28.0
798,Williams,28.0
783,Weimar,29.0
501,Mountain Center,30.0
572,Pearblossom,30.0
359,Junction City,31.0
355,Janesville,31.0
275,Friant,32.0
508,N San Juan,32.0
82,Bodega Bay,32.0
263,Forestville,33.0
72,Big Bend,33.0
283,Georgetown,33.0
574,Penngrove,34.0
212,Dixon,34.0
467,Mendota,35.0
810,Woodlake,35.0
637,Rough And Ready,35.0
755,Twain Harte,35.0
444,Lynwood,35.0
361,Jurupa Valley,36.0
310,Hamilton City,36.0
16,Agua Dulce,37.0
717,Springville,37.0
168,Cobb,37.0
341,Hydesville,37.0
724,Summerland,38.0
8,4 M W Of Lk Henshaw,38.0
657,San Joaquin,38.0
513,Newberry Springs,38.0
770,Vinton,38.0
733,Taylorsville,39.0
538,Olancha,39.0
372,Klamath River,39.0
512,Nevada City,40.0
90,Boulder Creek,40.0
14,Aerial Acres,40.0
721,Strathmore,40.0
588,Pixley,40.0
150,Chester,41.0
80,Blue Lake,41.0
695,Shasta,41.0
787,West Point,42.0
25,Angwin,42.0
456,Markleeville,42.0
291,Graeagle,42.0
99,Bridgeport,42.0
803,Wilton,42.0
404,Leggett,43.0
100,Bridgeville,43.0
92,Box 435,43.0
132,Carmel Valley,43.0
591,Pleasant Hill,43.0
247,Etna,43.0
184,Covelo,43.0
405,Lemon Grove,44.0
200,Death Valley,44.0
298,Gridley,45.0
24,Angelus Oaks,45.0
668,San Simeon,46.0
460,Mcarthur,46.0
64,Ben Lomond,46.0
700,Shingletown,47.0
547,Orleans,47.0
679,Santa Nella,47.0
328,Hinkley,47.0
237,El Nido,47.0
308,Halcyon,48.0
664,San Miguel,48.0
344,Independence,48.0
443,Lucerne Valley,48.0
605,Railroad Flat,48.0
558,Palermo,49.0
531,Oakland,49.0
391,Lakehead,50.0
107,Business,51.0
229,East Quincy,51.0
91,Boulevard,51.0
676,Santa Margarita,52.0
268,Fowler,52.0
796,Wildomar,52.0
127,Canyon Dam,52.0
599,Potrero,54.0
347,Inyokern,54.0
805,Winterhaven,54.0
320,Heber,54.0
120,Cambria,54.0
722,Suisun City,54.0
270,Freedom,55.0
778,Washington,56.0
287,Glenhaven,56.0
253,Felton,57.0
732,Tahoe Vista,58.0
196,Daggett,58.0
238,El Sobrante,58.0
102,Brownsville,59.0
465,Mecca,59.0
415,Littlerock,59.0
124,Camptonville,59.0
324,Hermosa Beach,60.0
742,Three Rivers,60.0
422,Lockwood,60.0
577,Phelan,60.0
792,Wheatland,60.0
28,Anza,61.0
101,Brisbane,61.0
297,Greenville,62.0
486,Montague,62.0
302,Gualala,62.0
323,Herlong,63.0
222,Dulzura,63.0
775,Walnut Grove,63.0
317,Hayfork,63.0
54,Bass Lake,64.0
346,Inglewood,66.0
312,Happy Camp,66.0
640,Rubidoux,66.0
108,Byron,67.0
19,Alturas,67.0
371,Klamath,67.0
202,Delhi,68.0
217,Douglas City,69.0
234,El Dorado,70.0
517,Newman,71.0
522,Nipomo,71.0
369,Kings Beach,71.0
801,Willows,71.0
411,Lincoln,71.0
523,North Fork,73.0
122,Camino,73.0
740,Thornton,74.0
213,Dobbins,74.0
593,Plymouth,75.0
319,Healdsburg,75.0
655,San Fernando,76.0
43,Avery,76.0
705,Snelling,77.0
440,Lower Lake,77.0
747,Trinidad,80.0
60,Bell,80.0
207,Di Giorgio,80.0
616,Redondo Beach,80.0
343,Imperial Beach,81.0
269,Frazier Park,81.0
751,Tulelake,81.0
303,Guatay,84.0
395,Lakewood,84.0
708,Somerset,84.0
296,Greenfield,84.0
571,Pauma Valley,84.0
273,French Gulch,85.0
814,Yermo,87.0
183,Coulterville,87.0
419,Llano,87.0
295,Greenbrae,89.0
246,Esparto,90.0
806,Winters,91.0
63,Belmont,91.0
624,Rio Dell,92.0
385,Lake Arrowhead,93.0
555,Pacifica,93.0
94,Bradley,93.0
536,Office,93.0
461,Mccloud,93.0
316,Hawthorne,94.0
390,Lake View Terrace,94.0
403,Lee Vining,95.0
472,Mgr'S Off,95.0
507,N Palm Springs,96.0
617,Redway,96.0
35,Artesia,97.0
402,Lebec,97.0
256,Firebaugh,98.0
726,Sun Valley,98.0
334,Hughson,100.0
528,Oak View,101.0
416,Live Oak,101.0
112,California City,102.0
553,Pacific Grove,103.0
408,Leucadia,103.0
206,Desert Shores,103.0
380,La Quinta,103.0
791,Westwood,103.0
562,Palo Alto,104.0
800,Willow Creek,104.0
143,Cayucos,104.0
564,Palo Verde,105.0
432,Los Alamos,106.0
723,Suite A,106.0
777,Wasco,107.0
204,Desert Center,107.0
621,Reseda,108.0
47,Baker,109.0
431,Los Alamitos,109.0
400,Lawndale,110.0
39,Auberry,112.0
181,Cotati,112.0
809,Woodbridge,113.0
738,Terra Bella,113.0
242,Empire,114.0
418,Livingston,114.0
683,Santa Ysabel,114.0
779,Waterford,115.0
354,Jamul,115.0
305,Gustine,115.0
191,Crowley Lake,115.0
365,Kerman,116.0
194,Culver City,117.0
675,Santa Fe Springs,118.0
226,Dunsmuir,118.0
807,Winton,119.0
203,Denair,120.0
177,Corcoran,120.0
414,Little River,120.0
409,Lewiston,122.0
619,Redwood Valley,122.0
688,Seal Beach,125.0
357,Joshua Tree,126.0
781,Weaverville,127.0
549,Orosi,128.0
314,Havasu Lake,128.0
504,Murrieta,128.0
438,Lost Hills,128.0
